content,score,label_sentiment
"Tidak bagus, Staff Tech nya tidak berempati dengan User. Registrasi susah, baik Internet banking maupun Mobile banking. Setiap 3 bulan diminta reset password, cuma direset gak bisa, mesti deactivate trus registrasi lagi. sudah 5 tahun ya gituuuu aja. Hari ini mau registrasi, Masa Maintenance sampai sore gini !!!",1,Negative
"Setiap aplikasinya dibuka : ""terjadi kesalahan, silahkan coba kembali"" ""Aplikasi tidak memiliki akses"" Still not functioning while I gave it permission, aktivasi apk harus ke bank?",1,Negative
Sering masalah pas lagi dibuthkan,1,Negative
"Pusing ah, dah minta reset trus ke atm malah ga bisa. Terhambat semuanya... Ga simple lagi kaya aplikasi mbanking lainnya.",3,Neutral
Login bjb digi disuruh ganti pin terus dirusuh masukin token. Token ditunggu ber jam2 gak muncul2. Masa ganti pin ajah harus ke customer service.,2,Negative
Ngaco,1,Negative
"Jelek bgt Appnya ga boong. Lola bgt, suka keluar2 sendiri kalo lg transaksi. Benerin dong biar lbh nyaman gitu aplikasinya.",1,Negative
"Ga simple, apalagi kalo ganti device",3,Neutral
Sejak diupdate jadi nga bisa isi shopeepay. Nyesel diupdate,1,Negative
"dikit"" minta ganti pin ribet bener",2,Negative
Lupa password harus ke Cabang itu sesuatu banget di era 4.0 ini. Plus UX nya jika dibandingkan bank2 jauh lebih ribet dan kompleks maaf hanya menyampaikan fakta yang saya alami🙏🏼,1,Negative
"Aplikasi gabisa dipakai, masa dah hampir seminggu gabisa transaksi apapun di mbanking, apa guna nya dah ni apk mana lemot banget",1,Negative
Tidak ada pembukaan rekening lewat aplikasi?,1,Negative
Lumayan terbantu dengan digi mobile ini,4,Positive
"liat saldo aja ribet, transfer mahal, tidak memuaskan, tolong diperbaiki",1,Negative
"Mantap, bjb digi yg sekarang makin oke, dapat mengakomodir hampir semua transaksi perbankan saya. untuk top up e wallet sperti shopeepay kenapa tidak dapat diakses?? Mhon segera perbaiki 🙏🙏🙏",5,Positive
Error BI FAST tidak pernah bisa digunakan. Value is shorter than minimum length bla bla bla. Diperbaiki lah masa bug gini aja hampir setahun gak beres2 🤦‍♂️,1,Negative
"Saran penambahan fitur pembayaran / pembelian token listrik PLN. Kemudian fitur ganti atau hapus nomor hp yang terdaftar serta satu nomor hp bisa didaftarkan untuk beberapa rekening jangan satu nomor hp satu rekening. Sejauh ini aplikasinya sudah bagus. Satu lagi fitur login setelah reset, bank lain sudah bisa login / daftar aplikasi perbankan tanpa perlu bantuan CS.",3,Neutral
"Dear bank BJB terhormat kalo sekiranya aplikasi DIGI masih belum sempurna jangan dulu di gunakan kepada nasabah bank BJB, kasian untuk orang awam yg sudah tua2 pada gaptek di tambah app nya banyak eror, dalam 1 minggu ada aja gangguannya. Kalo sekiranya masih prototype atau masih banyak eror diperbaiki dulu. Yg paling aneh kenapa ga bisa di screenshot?? App bank lain bisa di SS kalo ada masalah tinggal tunjukan SS nya lah ini ga bisa di lihatin salahnya apa. Udah pas login selalu minta reset.",1,Negative
Nice 🫰,5,Positive
"susah, kebanyakan maintenance",1,Negative
Sering error,2,Negative
Kenapa akhir² ini error 0099 mulu siy.. Jadi pusing akses nya padahal mau buru² urus financial..,2,Negative
"26/01/2023 kenapa jadi ga bisa topup shopeepay ya? pesan yg muncul katanya lg ""maintenance"" tapi masa udh 2 minggu lebih masih aja maintenance. 09/02/2023 sampai saat ini masih aja ""maintenance"" utk topup shopeepay.",1,Negative
"Aplikasinya makin gembel, gabisa cek saldo mulu, gabisa top up shopeepay pdhl ada opsi top up. Wasting my time",1,Negative
Aplikasi blm siap pakai.,1,Negative
Kenapa bjb digi tidak bisa bayar listrik??,1,Negative
multi finance nya msh kurang y,4,Positive
aneh saldo tiba tiba kepotong 10.500 padahal gak ada transasksi apapun,1,Negative
"Good Mobile Banking Apps, many feature in this Apps,",5,Positive
Min tambah kerja sama dengan DANA donk,5,Positive
"udah semalaman error (terjadi kesalahan bla bla bla) tidak bisa check tidak bisa transaksi. pagi-pagi buka aplikasi lagi, status mbanking saya sudah ""Blocked"" dan harus aktivasi mbanking lagi ke Bank",2,Negative
"nyusahin bgt fitur WAJIB ganti password setelah beberapa bulan yg TIDAK bisa di skip dulu!!! lagi urgent eh malah suruh ganti password, mana harus pakai otp sms segala. kalau lagi ga ada pulsa gmn?? Ada baiknya fitur ini bisa di skip, biarlah user yg memilih.",1,Negative
"Akhirnya berdamai dengan BJB Digi... Uninstall... Ga pernah pakai lagi, sekarang semua aktifitas keuangan pakai Bank Syariah...",1,Negative
"BIKIN KESEL. Sinyal bagus tapi pas mau cek saldo malah ada tanda "" - """,1,Negative
Percuma daftar online kalau masih harus ribet pergi ke kantor,1,Negative
mau ganti nomer buat sms notifikasi tapi gabisa dihapus nomor yg lamanya. error terus,2,Negative
"Suka down, tiba2 keluar sendiri. Potongan tiap bulan juga banyak banget. Transfer gaji lamban. Slow respon.",1,Negative
"Mohon maaf kasih bintang 3 soalnya aplikasinya susah dipake, mau transfer aja ribet banget, agak lemot juga. Kirain karena internet nya, tapi buka mbanking lain lancar2 aja. Semoga segera di perbaiki ya design aplikasinya biar nggak ribet.",3,Neutral
Gajelas bat aplikasinya mending bca mobile. Topup shopeepay masih dalam proses mulu kok gak masuk-masuk uangnya. Gimana iniii,1,Negative
Sudah bisa bayar MNC Play. Beli token listrik masih belum bisa.,4,Positive
"hape ke reset, tidak bisa masuk lagi ke aplikasi, masuk bjb sms, nunggu kode OTP tak kunjung datang... kalau harus ke bank terus untuk reset ini, ribet.",2,Negative
"""gagal terhubung ke server, silahkan cek koneksi internet anda"" gitu aja terus, padahal koneksi bagus. Sumpah ini app bank mobile terjelek yang pernah ada",1,Negative
Susah banget dibukanya sering gangguan juga,3,Neutral
Saldo gak tertera woi.. cuma tanda (-) doang Perbaikilah ini aplikasinya tolong,1,Negative
"sistem top up dompet digital tidak jelas, saldo sudah terpotong tp dana belum masuk ke saldo market place",1,Negative
"v.2 Hanya jadi aplikasi sms banking.. update: bjb mobile okelah, tinggal ditambahin fitur mutasi transaksi yg bisa didownload+dipilih periode transaksinya.. V.5.2.8 Tidak bisa login",2,Negative
"Ribet, jangka waktu beberapa bulan harus rubah pin number, ini beresiko lupa pin buat user dan jika kejadian maka kita harus nyisihin waktu ke bank terdekat buat reset pin.",1,Negative
aplikasi nya ga bisa dibuka sama sekali,1,Negative
"Akhir akhir ini sering loading cek saldo aja gak bisa, jadi khawatir mau melakukan transaksi finansial, mohon segera diperbaiki bugs nya",3,Neutral
"Yaa memang belum maksimal. Pake Qris ga bs, force shutdown. Pake transfer muter2 loading sampe besok. Coba kalo remon ga masuk rekening ini.",1,Negative
Good app,5,Positive
Please add E commerce Dana And PLN,3,Neutral
"Udah beberapa hari ini gak bisa dibuka, padahal udah diupdate. Sering error juga",2,Negative
sudah bisa isi shopeepay tanpa biaya adm..wow..,5,Positive
"Aplikasi sampah!!!! Simpen duit disini bikin waswas, saldo ga bisa d lihat. Gagal terus konek ke server nya.",1,Negative
"terlalu sering minta ganti pin, cek saldo tidak bisa, transfer tidak bisa, bayar2 tidak bisa, selalu muncul gagal koneksi internet padahal kode sinyal bagus warna hijau, internet juga kenceng.",1,Negative
Error,1,Negative
Seting sekali gangguan,1,Negative
Error mulu apalagi pas tanggal2 gajian. mbanking terjele keknya jatuh ke digi bjb😂,1,Negative
Mohon di tingkatkan untuk pelayanannya :),1,Negative
tidak stabil seringkali gagal terhubung ke server,1,Negative
Susah bener dapetin verifikasi OTP. Udah berhari-hati gagaal teruuuus...,1,Negative
"Dah laman pakai tiba tiba gsk bisa log in, diminta no tekp sm tg lahir udah dikirim pesan nya error 009 udah direset costumer service via 14049 dan reg ulang tetap aja pesan nya sama eror 009",2,Negative
Oke,5,Positive
Cek saldo baiknya login dulu sprt versi lama. Karena saldo jd mudah dibuka khawatir ada yg buka selain pemilik,2,Negative
Good,5,Positive
"Sekelas Bank, buat OTP aja pulsanya sampe di bebanin ke nasabah, memalukan, ga modal banget, ga mampu kah kalian bikin server SMS sendiri, sampai-sampai buat OTP saja pulsanya di bebanin ke nasabah, LOL",1,Negative
Jauh 1000% kalo dibandingin sama BCA mah,1,Negative
Loved it,5,Positive
"Server sering error, sering ga bisa konek banking",1,Negative
Very bad,1,Negative
"Di update, malah gabisa cek saldo, gangguan server mulu, payah!",3,Neutral
"Pembayaran qris selalu gagal, mau topup e-wallet selalu gagal, selalu tidak konek ke internet pakai wifi maupun data selular, duh ya kualitasnya rendah banget nih aplikasi",1,Negative
Sering banget gangguan. Sekarang juga gak bisa dipakai. Gagal tersambung ke server mulu.,1,Negative
sejak upgrade. Terlalu sering error.,3,Neutral
Banking teribet selalu minta ganti pin terus dan harus ada pulsa dulu. Pas udah coba 3 kali disuruh ke bank ribet,1,Negative
Sering bug bukanya aja kadang lama (gabisa),1,Negative
"Aplikasi sulit diakses, stuck di beranda paling awal ketika membuka aplikasi.",1,Negative
Terbaik,5,Positive
"Jelek banget parah, applikasi swring kali gabisa dibuka entah masalah server atau apa. Tapi sering dan sering banget",1,Negative
"Pergantian PIN tidak usah rutin, lebih baik manual saja sesuai keinginan USER mau kapan ganti PIN soalnya cukup mengganggu & menghambat transaksi jadinya buang-buang waktu, biaya & kuota! Beberapa kali dicoba sampai pulsa habis, kode OTP tidak terkirim-kirim padahal kondisi pulsa & kuota lebih dari cukup, Sinyal pun kuat. Tolong perbaiki layanannya donk!!!",1,Negative
"Terimakasih ,, top up shopeepay sudah bisa ... Tapi yg disayangkan kenapa harus ada nominalnya pada saat top up ? Kenapa tidak seperti top up gopay/ovo ,, kita bisa top up walau dengan nominal ganjil sekalipun ,, mohon untuk bisa dikembangkan lagi kedepanny 👍👍",4,Positive
Hatur nuhun,5,Positive
"Bad app. Llupa PIN harusnya di besok nya di reset lagi, tp ini diakumulasikan jadinya ke blokir, buka blokir juga harus ke bank nya langsung. Ribet",1,Negative
Sering error di ATM maupun di aplikasi android.,3,Neutral
"Saya kira ada aplikasi ini akan jauh memudahkan, tapi ternyata malah banyak bikin ribetnya buat akses yaa",1,Negative
"Tiap kali reset device harus aktivasi k bank, ribet banget ni app, fix pindahin dana k yg g ribet. Nyebelin.",1,Negative
"Aplikasi crash, ga bs dibuka sama sekali, setiap dibuka langsung ketutup lg",2,Negative
"Cape sih. Tiap mau aktivasi ulang musti ke bank mulu. Gara2 eror mulu, jadi harus ke bank mulu. Ngantri. Cape. Sumpah. Abis waktu. Di dunia digital, tapi ga bisa serba digital kaya bank sebelah.",1,Negative
Good apps.. so many feature for digital banking and i like the interface..,5,Positive
Sejak diperbaharui malah sering gangguan. Aneh,3,Neutral
"Mau mindahin akun ke hp lain ribet bgt dah, harus reset dll, udah serach sana sini dan masih gak ada informasi gimana caranya, mempersulit aja. Tolong dong ini gimana",2,Negative
"Worst mobile banking app there ever was, kalo bukan karna kantor yg gajian pake bank ini gak akan mau pake lagi. Mutasi rekening gagal terus, setiap minta update pin dan sukses, pas masukin pin terbaru selalu salah dan akhirnya terblockir. Mantap",1,Negative
Super bad experience,1,Negative
Aplikasi mbanking terburuk sepanjang masa,1,Negative
Biaya yang dipotong BJB besar banget. 10.500 + 6.000 = 16.500. Lebih besar dari Jenius yang cuma Rp 10.000. Udah gitu internet banking BJB lelet banget. Berasa pakai pentium 1. Lelet. UI/UX-nya juga gak user friendly. Intinya nyesel buka rekening di BJB.,1,Negative
Masa mau screenshot aja dilarang,1,Negative
Bermanfaat..,5,Positive
Kalo ganti hp apa mesti ke bank lagi..??,5,Positive
SAYA KASIH 1. Yang SANGAT MENGANGGU adalah OTP ganti password MEMBUTUHKAN PULSA. kalau sedang mendesak mau transaksi. Harus ganti password dan otp dengan pulsa REPOT BANGET. belum lagi sering ada masalah penampilan jumlah rekening. UI nya udah ok banget padahal. FIX IT = 5 stars,1,Negative
"Ribet amat , belajar dari yg pro sana like BCA",1,Negative
baru install sehari besoknya udah ga bisa dibuka malah disuruh registrasi ulang,1,Negative
"transfer BI FAST tdk bisa dilakukan selalu gagal keterangan ""sedang dalam proses"" tapi ditungguin berjam jam ttp gabisa",1,Negative
Sudah dua kali akun terkunci padahal login dgn biometrik. Terkunci biasanya gara2 salah memasukan password. Dan harus datangi cabang buat memperbaikinya ..,3,Neutral
"Tidak bisa update saldo, tatacara ribet",1,Negative
Top,5,Positive
"Aneh bgt ga semua transaksi masuk pas cetak mutasi, trus harus ganti pin tiap 3 bulan ini ribet bgt. Udah di depan kasir mau pake qris eh gabisa, bikin malu aja. Bi fast tidak 24/7 payah bgt",1,Negative
Ganti pin jangan 3bulan sekali dong.,5,Positive
"Kode OTP nya lama gak masuk-masuk, padahal sinyal dan pulsa ada. Ini saya mau ganti pasword jadi susah, gak mau kebuka aplikasinya. Mau transaksi jadi gak bisa",2,Negative
Mantapps..sekarang makin banyak fitur nya Semoga menjadi bank pilihan kita semua Aamiin,5,Positive
"Tolong dipermudah untuk login ke digi mobile ketika menggunakan perangkat baru, sangat membuang-buang waktu saya untuk pergi ke bank menemui customer service, trims..",1,Negative
"Ribet ya, Saya ganti device hrus reset & registrasi ulang, ngga bisa via aplikasi hrus ketemu cs dulu 👎",1,Negative
Tambah fitur token PLN untuk bayar listrik yg mudah penggunaannya. Terima kasih,5,Positive
"- cek mutasi loading nya lama - cek saldo sering error - cek saldo di atm juga error - atm banyak yg error - sering minta ganti pin - loading app super lambat - applikasi belum terintegrasi satu sama lain, 2022 masih harus download app terpisah? - top up e-wallet ke app lain sering crash Not recomended at all, karna terpaksa harus meggunakan app ini, semoga developer membaca ini semua.",1,Negative
Jadi lemot dan bikin hang,1,Negative
"Banyak error, otp harus potong pulsa dan transaksi sering gagal.",1,Negative
"Mau cek mutasi sulitnya minta ampun, loading nya lama banget, yang akhirnya tetep gabisa buka juga",1,Negative
"Mau cek saldo ko jadi gabisa, gak ada pilihan di menu nya",3,Neutral
"Sejauh ini masih dapat digunakan.. Tapi semenjak terakhir di update jadi ada kendala tidak bisa transfer. Tercantum ""Transaksi tidak dapat diproses... pastikan isian kolom berita dan nama panggilan tidak mengandung simbol.."" Padahal kolom isi berita kosong dan nama panggilan tidak berubah sejak dulu, dengan format yang tetap dan tidak bisa diubah. Mohon perhatiannya dari pihak bank dan pengembang agar transaksi melalui BJBDigi dapat kembali lancar.. Terima kasih.",5,Positive
"Gimana kok ga bisa cek saldo di digi, tombol mana tombol, hayeuh",2,Negative
Yocv,3,Neutral
Kereen bgt....,5,Positive
UI susah dipahami. petunjuk tidak membantu.,1,Negative
"OTP not sent, it wasting my time when i want to use BJB Digi for trx, also please provide button to resend OTP",1,Negative
Tidak bisa transfer via Proxy Email BI Fast karena tidak bisa memasukkan simbol titik.,4,Positive
join ma Flip dong,4,Positive
Ini kenapa jadi gak bisa cek saldo gak bisa cek mini stetmen??? Jadi jelek nih aplikasi. Quick aksess cek saldo gak guna itu. Kembalikan lagi aplikasiny ke semula. D update bukannya makin bagus malah jadi jelek. Jadi kacau nih gak bisa cek saldo. Kzl nyesel di update. Tolong d respon.,1,Negative
"Gak bisa cek saldo, gak bisa transfer trus gunanya apa?",1,Negative
Disuruh ganti pin trus disuruh ngisi kode otp tapi gaada otp yang masuk lewat sms kenapa?,5,Positive
"Hari ni sy ganti pnilaian jd ⭐️5.Awalnya ke CS cab.mjly tuk diperbaiki spy bisa tf antar bank & isi saldo e-commerce skalian ganti kartu atm yg terbaru.Di uninstall,dicek sm CS,sampe diminta nunggu sehari.Tp ga berubah.31mei22 akhirnya ke CS cab.talaga, awalnya diminta ke cab.utama dl tp sy blang sdh & gada perubahan.Untungnya lg ga crowded jd dibantu oleh teller yg merangkap jd CS. Diperbaiki,skitar 10-15m sdh fix.Sy lgs coba,voila mantul,asli fix semua. Makasih🤩,pelayananny sgt memuaskn.",5,Positive
ini info saldoya kenapa malah ilang,1,Negative
Setelah di update saldo tidak bisa dilihat di financial,2,Negative
"Setelah update apps terbarun bjb digi gak bisa lihat saldo dplk, tolong perbaiki",3,Neutral
"Ini gimn digi by bnk bjb masuk masuk ke apknya, disuruh ganti pin, tapi kode otp gak ada masuk notif sms ataupun email ya , setelah diuprgde kok malah gak bagus",1,Negative
Payah aplikasinya. Error mulu,1,Negative
Tolong dong bisa topup ke dana,4,Positive
"versi terbaru menyulitkan. tidak ada info rekening, tidak dapat melihat saldo, tidak dapat melihat transaksi masuk. Sudah satu minggu dicoba dan ditunggu blm ada perbaikan. mudah2n dapat segera diperbaiki.",3,Neutral
seering bgt eror....,3,Neutral
"Tiba2 tdk bisa cek saldo dn mutasi rekening..tempat cek saldo skrg diganti jd personal info, trus cek saldo dn mutasinya di sebelah mana??",2,Negative
"Abis update, cek saldo nya dmn ?",1,Negative
"Menu untuk lihat saldo hilang, ntah dimana. Abis install ver baru malah jadi bingung.",1,Negative
Bjb mAh cari duitnya Dari ganti pasw ganti m pin.. apa apaan bentar bentar ganti mana sms premium. Klu emang mau secure ke wa ato imel kan bisa.. keliatan banget cari duitnya,2,Negative
"Lebih senang dengan UI sebelumnya, terlebih lagi UI untuk cek transaksi juga ada button mutasi ke PDF kalau tidak salah mini statement. Mungkin bisa di munculkan kembali. Karena UI yang sekarang tidak ada, kalau ada mohon infonya ada dibagian mana. Terimakasih",2,Negative
Bisa....,5,Positive
"Alhamdulillah fiturnya memudahkan, tapi kalau boleh menambahkan saran, semoga DIGI bisa memberikan akses top up DANA atau paling tidak bekerjasama dengan Flip atau perusahaan sejenis untuk memudahkan transaksi antar bank... Terimakasih",4,Positive
gak bisa liat saldo,1,Negative
"Versi terbaru ribet, apalagi utk cek saldo utk yg memiliki 2 rekening, rubah primary rekening utama jadi gaada. Mengecewakan",4,Positive
Gimana cara cek saldo nya skrg. Malah tambah pusing ini aplikasi.,1,Negative
saldo nya ga bisa diliat :(,3,Neutral
Cara cek saldo dan mutasi rekening gimana ya sekarang?,3,Neutral
Banyak gangguan bayar aja mahal adminnya,1,Negative
Tampilan baru lebih fresh dan lebih user friendly!,5,Positive
Mantap,5,Positive
"Pembayaran transaksi hanya 10 kali sangat menganggu.. saya ini bayar pbb, setor uang ke negara koq dibatasin hanya 10 transaksi per hari? Aturan mana ini?",1,Negative
"Menyebalkan, karena sewaktu2 saya buka app tapi diharuskan mengganti password dengan alasan keamanan. Menurut saya untuk menggamti pass tidak bisa sewaktu2 karena bagaimana mungkin memikirkan kombinasi angka baru pada saat yang tidak tepat. Baiknya, biarlah boleh ada saran mengganti pass tapi jangan suatu keharusan, bisa ditunda sesuai pengguna apps. Terimakasih UPDATE 9 MEI'22 : Gak nyambung jawabannya BJB.",1,Negative
"Dari semua app pembayaran (Dana, Gopay, Shoppepay, Ovo, dkk) dan semua app Mbanking (BCA, Mandiri, Jenius, dll). Hanya BJB yang ribet2 ganti pin berkala 3 bulan sekali dengan alasan keamanan. Manajemen dan tim IT nya juga BELAGU. Dikasih masukan, gak mau terima. Padahal Mbanking Bank lain lebih prudent, ga ada kewajiban gonta ganti pin berkala. Kalo bukan gegara ASN Jabar, OGAH PUNYA REKENING DI SINI.",1,Negative
"Di update bukannya malah bagus, malah makin bermasalah dan gak bisa dipakai",1,Negative
Aplikasi digi mudah digunakan,5,Positive
Saya pindah gadget dan sangat sulit mengaktifkan DIGI. Telah terjadi kesalahan mulu. Bagemana nih ????,3,Neutral
"Diminta buat ganti MPIN untuk keamanan, abis ganti MPIN diminta lg buat input kode otp yg entah nyangkut dmn. Keamanan yg bikin ga nyaman",1,Negative
Dari awal Sy pakai aplikasi ini sudah sangat banyak perbaikan yang dilakukan dari fitur sampai ke penampilan. Thanks BJB,4,Positive
"not sent OTP problem when regular pin change, really annoying",1,Negative
kalo malam hari sering beut gangguan,1,Negative
"Saya mau cek mutasi rekening tidak bisa, katanya error 0068. Kenapa ya?",3,Neutral
Finger print tbtb gak ke detect eh langsung di block. Pas mau dibenerin via WA ke CS Digitalnya ehh gak di respon samasekali.,1,Negative
"I tried to clear cache, data, and even uninstall the app but still there's no otp, do I really have to waste my time by calling the Customer Service for the simplest thing you could have fixed in the very first place? This can't be real.",2,Negative
Mutasi rekening cuma transaksi 1 bulan saja dan hanya data pengeluaran saja,1,Negative
"Error dan lama, koneksi internet dalam kondisi baik tapi selalu sulit untuk melakukan aktitas di app ini",1,Negative
"slow in every aspect, dalam antrian dalaam aplikasi, semua lama!!!!!!!!",1,Negative
Gajelas mau bayar indihome aja gk bisa lewat aplikasi,1,Negative
QRISnya kenapa ga bisa dipake,2,Negative
doesn't help at all,1,Negative
kok bukan Buat rekening bank,1,Negative
"Aplikasi lumayan sering tidak bisa diakses saat libur, tanggal merah, weekend. Padahal sedang butuh segera.",2,Negative
tidak bisa transfer dengan bifast,3,Neutral
"abis update harus ganti pin setelah ganti ,otp ga masuk2 mohon solusinya",1,Negative
Please fix OTP not sent problem. I use for nothing since i download this app.,1,Negative
"Tidak bisa transfer, password dianggap salah dan terblokir. Aplikasi bermasalah tapi Developernya gak ada merespon. Uninstal sajalah! Kembali lagi ke manual...",1,Negative
OTP ga dikirm-kirim terus bagaimana ini,1,Negative
"Untuk user interface dan pengalaman penggunaan sudah cukup nyaman, namun yg menjadi catatan adalah sering muncul notifikasi untuk ganti pin dan proses ganti pin harus dilakukan saat itu juga, ditambah memasukan kode OTP sedangkan OTP gak pernah muncul meskipun sudah direfresh, akhirnya aplikasi sama sekali gak bisa diakses, awful. Saran saja, masalah penggantian pin cukup kasih notifikasi, selebihnya biarkan user yg menentukan mau ganti pin atau tidak, gak harus saat itu juga ganti pin.",3,Neutral
"Bagi yang sms OTPnya tidak masuk, pastikan tersedia pulsa sekitar 1.000 karena ternyata SMS berbayar, overall fitur mencukupi",3,Neutral
"agak ribet,sudah pakai sidik jari tapi tetap harus masukan no pin dan email. tidak praktis",1,Negative
Otp not sent what happened with that...?,5,Positive
Simple and usefull,5,Positive
"Re-install/aktifasi akun harus datang ke cabang, dlm kondisi tertentu sangat merepotkan. Semoga bisa ditingkatkan lagi. 5⭐biar muncul di timeline",5,Positive
Gak bisa login,2,Negative
Fitur udah lumayan lengkap.. Tp disayangakan blm ada fitur pembelian token pln dan belum ada fitur pembukaan rekening langsung dari Aplikasi,2,Negative
"Aplilasi jadul dari Bank yang gak mau nerima keluhan, aplikasi buruk, biaya transfer belum BI fast, klo gak dipaksa mana mau punya rekening disini 🤣",1,Negative
Can't use,3,Neutral
Tolong fungsi transaksi di bjb digi dibenahi. Transaksi gagal tp saldo tdk refund. Punya sistem jangan bodoh dong IT developmentnya. Masa dikit2 datang ke CS bank. Bank daerah lambat improvenya. 👎👎👎👎,1,Negative
"sering banget error. mau cek mutasi ngga bisa, mau bayar pajak ngga bisa, mau transfer ngga bisa. bingung saya bisanya apa.",1,Negative
"Maksa ganti mpin dan itu berbayar untuk tiap OTP nya, ga ada cara lain buat narik rezeki emangnya?!",1,Negative
"Setiap kali ganti HP harus selalu reset datangi CS atau telepon ke 14049. Ribet sekali, apa tdk bisa seperti mBanking lain yg cukup dengan verifikasi data dan nomor/email???",1,Negative
"Ribet tiap 3 bulan harus ganti pin dengan alasan keamanan,justru terlalu sering ganti pin membuat nasabah lupa pin, keamanan itu tanggung jawab pihak bank,ketika mau ganti pin verifikasi otp tidak dapat sms balasan,terus bagaimana caranya Saya ganti pin?",1,Negative
"Aplikasi tidak bisa dibuka lagi.. Mhn segera diperbaiki dan dibuat lebih mudah lagi dlm mengoperasikannya demi kenyamanan pelanggan, karna ketika melakukan transaksi sering gagal. Jika sudah diperbaiki saya tambahin bintangnya..",1,Negative
OTP verification took 5 minutes and nothing happened...,1,Negative
Tolong ya sistemnya diperbaiki mau transaksi susah tlp call center berkali2 Ngirim kode OTP ga masuk2,2,Negative
User friendly 👍,5,Positive
Ntap,5,Positive
Aplikasi yang sangat mudah digunakan serta sangat membantu dalam solusi transaksi perbankan jaman now.. 👍👍👍👌,5,Positive
aplikasi sangat bermanfaat,5,Positive
"diminta ganti mPIN tp selalu stuck di kode OTP, nyusahin bgt",1,Negative
"nice app, very useful",5,Positive
Gudddd,5,Positive
Tiba2 tidak bisa untuk transfer dsb.,1,Negative
"Aplikasi ini sangat buruk. Saya melakukan trf 2 kali time out. Tidak masuk. Untuk penanganan dan komplin pun sangat lama harus menunggu maksimal 14 hari. Pelayanan nya pun sangat lamban. Saran saya jika darurat jangan melakukan transfer via aplikasi ini. Karena jika gagal seperti saya, sangat merugikan",1,Negative
Kalo bisa repot dan ruwet kenapa dibikin mudah. Maaf nggak jadi pakai saja.,1,Negative
Untuk mengambil dan menyimpan uang,5,Positive
Sudah 3x ini dipaksa ganti mPIN padahal ga ada masalah apa2... Kenapa harus paksa ganti mPIN? Mana OTPnya ga masuk pula,3,Neutral
"Berjalan dengan baik dan lancar,, terimakasih BJB dan developer,, 👍🏻👍🏻",5,Positive
Baru x ini DL mbangking bank ribet bgt,3,Neutral
"Sederhana, lengkap dan mudah",5,Positive
Tambahinlah di menu Beli buat token listriknya!,3,Neutral
Kenapa sekarang bjb tidak bisa untuk bayar token pln ya? Dulu sempat ada fiturnya tp sekarang hilang,4,Positive
"Sering banget saat mau transfer/top up, pilihan bank/layanan ga muncul (data tidak tersedia)",1,Negative
"Aplikasinya kurang user friendly, ribet.",2,Negative
Sejak update : splash screen langsung keluar... Update ngaco,3,Neutral
Gak bisa di gunakan kacau,1,Negative
"Disuruh ganti pin, masukkan otp, otp nya mana ga masuk-masuk. Nomor saya aktif, pulsa juga ada. Berkali-kali otp juga ga masuk. Keseringan minta ganti pin, bank-bank lain juga ngga seperti itu, mohon diperbaiki appnya.",1,Negative
Gaperlu rajin nyuruh ganti mpin kalau otp susah sampai,1,Negative
"Haduh gara gara sering update gonta ganti pin ujung ujungnya jadi lupa pin nya,ahirnya trblokirlah sudah,knapa sih hars update pin terus",2,Negative
Ga bisa login woi,1,Negative
Sering eror....coba tolong perbaiki lg....,3,Neutral
"App mudah crash, login sulit",3,Neutral
"Tidak menerima kode OTP usai diminta untuk mengubah pin. Jadi tidak bisa melakukan transaksi, padahal sedang urgent.",1,Negative
tidak bisa digunakan transaksi setelah update.,5,Positive
Sangat bermanfaat aplikasi ini serba mudah dan gampang...,5,Positive
Kenapa fasilitas pembayaran listrik nya jadi hilang lagi?,3,Neutral
Kenapa hilang pilihan untuk isi token pln,1,Negative
"Marketingnya bermulut manis dan manipulatif mendorong ambil banyak dg jangka panjang terlama dg iming2 rate bagus. Bunga mencekik ditulis cuma berapa persen dg skema cicilan efektif. Setelah akad langsung no respond tanpa ngasih lampiran angsuran (mungkin takut). Her name suci fadilah. Setelah pelunasan dipercepat, hingga saat ini data di BI belum dihapus jg sama bank ini. Sungguh pengalaman pahit bgt ambil pinjaman di bank ini.",1,Negative
Aku mau bayar tagihan listrik tapi ko ga ada ya,3,Neutral
Kenapa jd ga bisa beli token PLN?,4,Positive
"Sering minta ubah PIN, untuk ubah PIN butuh pulsa untuk kirim OTP, padahal niatnya buka aplikasi bjb digi buat beli pulsa :(",4,Positive
"Servernya di perbaiki, gangguan mulu sama gagal transaksi mulu min.",2,Negative
"untuk tampilan kayanya makin user friendly, tapi dari aksesnya yang susah masuknya, terus cek saldo atau mutasi ga bisa terus, keterangannya gagal menymabung server karena koneksi,padahal jaringan ok. mohon segera diperbaiki.",2,Negative
"Setiap tanggal gajian aplikasi ini selalu lemot dan eror, semoga bisa segera diperbaiki",1,Negative
"Bener2 repot pake aplikasi bjb, beda banget dg bank bca, tapi kantor harus pakai bjb",1,Negative
Tadinya ad lyanan beli token pln..skrg ko ga ada ya..masi bintang 1..,1,Negative
